  100/200 (91s)
  200/200 (130s)

掩码来源       扩张       GT覆盖率        面积占比                        判读
模板端         0      41.6%        8.5%                  ❌ 会误杀真改动
模板端         4      54.0%       40.6%                  ❌ 会误杀真改动
模板端         8      61.1%       51.6%                  ❌ 会误杀真改动
照片端         0      99.6%        6.7%              ⚠️ 含照片噪点,滤不掉
照片端         4      99.7%       43.1%              ⚠️ 含照片噪点,滤不掉
照片端         8      99.7%       56.0%              ⚠️ 含照片噪点,滤不掉
并集          0      99.6%        8.7%              ⚠️ 含照片噪点,滤不掉
并集          4      99.7%       44.7%              ⚠️ 含照片噪点,滤不掉
并集          8      99.7%       57.7%              ⚠️ 含照片噪点,滤不掉

用时 130s
